steps,eta,fid
10,0.0,29.518004947002574
10,0.2,29.441038859559953
10,0.5,32.63478209910608
10,1.0,46.17086463765917
20,0.0,20.716493155713273
20,0.2,20.78470053230866
20,0.5,22.470159256046617
20,1.0,28.207954074793065
50,0.0,16.177866493377337
50,0.2,17.560902851737907
50,0.5,16.99027291615963
50,1.0,15.875179002893347
100,0.0,15.763001924608218
100,0.2,16.012287117678262
100,0.5,16.93964887429805
100,1.0,12.615846188917127
1000,0.0,18.59238463887946
1000,0.2,17.08969570998232
1000,0.5,14.405647657784876
1000,1.0,10.340116708708829
